â_èDate_of_run,Animal_Gen,Date_of_Birth,Animal_No,Condition,Tot_Pro_RyR,RyR,Tot_Pro_P2808,P2808,Tot_Pro_P2814,P2814,Tot_Pro_P2030,P2030
08.10.19,CPVT-WT,26.08.19,6034,Control,369262783,371689604.9,490306874,150045194,238663698,128772096.2,551400954,106455110.5
08.10.19,CPVT-WT,26.08.19,6034,Iso,309837335,308087722.4,469814980,193342460,233481612,67929648.97,524979924,128497411.2
08.10.19,CPVT-WT,02.07.19,6026,Control,286401062,329903423.9,433483044,102912158,202651540,53191840.26,473031702,55551930.02
08.10.19,CPVT-WT,02.07.19,6026,Iso,329550445,376339795.9,499288220,188594739.7,240419998,68158487.92,501383784,163528440.4
08.10.19,CPVT-HET,05.07.19,5882,Control,329929580,364176859,472231686,99976477.6,219438128,37189719.94,488020236,47860894.24
08.10.19,CPVT-HET,05.07.19,5882,Iso,292652492,370432834.9,426654786,146495800.4,199182802,43192533.14,462251880,112558047
08.10.19,CPVT-HET,18.07.19,6033,Control,303959119,395565347.1,471013276,73605731.14,251723290,43268885.32,506576988,45229422.33
08.10.19,CPVT-HET,18.07.19,6033,Iso,351388239,366743976,526777116,117937160.5,254801274,60538632.61,533389344,109627108.2
30.10.19,CPVT-WT,24.12.18,6029,Control,438286656,540510134.5,534817824,143296887.8,258000585,26099037.1,579867552,15672068.63
30.10.19,CPVT-WT,24.12.18,6029,Iso,487444944,398241345.2,550518072,167319276.4,285236688,29295479.07,618409068,42409285.31
30.10.19,CPVT-WT,24.01.19,6355,Control,500656392,403283396.3,493681836,88632915.02,228417003,21398468.17,556959984,13295610.05
30.10.19,CPVT-WT,24.01.19,6355,Iso,466601448,473516406.3,474675564,128824907.9,229892946,24768355.96,557415516,30859211.61
30.10.19,CPVT-HET,20.08.19,6358,Control,465219756,277142603.3,456548328,61100900.25,246356655,15734159.31,590317044,7994805.82
30.10.19,CPVT-HET,20.08.19,6358,Iso,475386504,283294894.1,483446952,102209019.6,248455899,17443957.4,580266780,27033398.16
30.10.19,CPVT-HET,26.01.19,6357,Control,435226860,318152455.9,434388012,45212427.94,226561170,7806109.46,463857648,8542641.26
30.10.19,CPVT-HET,26.01.19,6357,Iso,421334460,332371544.3,399461580,54000935.42,214461774,9387304.51,429959784,18193229.41
30.10.19,CPVT-WT,02.07.19,6026,Iso,571028640,400012780,448569276,210339814.3,258990309,42359648.65,539589180,46873460.63
26.11.19,CPVT-WT,17.04.19,6823,Control,466438068,134422196.2,378079507,21164269.68,447310188,13507565.85,456306867,7642724.82
26.11.19,CPVT-WT,17.04.19,6823,Iso,411734028,112678413.2,422709573,41769846.86,447310188,9883237.15,503218419,17636299.72
26.11.19,CPVT-HET,12.05.19,6999,Control,398210436,108542054.5,414226046,26833100.74,410029477,10881973.85,481191837,5428149.85
26.11.19,CPVT-HET,12.05.19,6999,Iso,411371964,138598310.9,431722616,54398652.1,427231675,12351657.96,460914627,21285150.66
26.11.19,CPVT-WT,26.08.19,6034,Control,421496304,188513003.6,371438015,51141050.74,439083242,22122387.31,397056636,15611456.79
03.12.19,CPVT-WT,26.01.19,6359,Control,12399156,123921422.9,266489555,54356339.34,198023012,23356585.68,205196025,9821308.54
03.12.19,CPVT-WT,26.01.19,6359,Iso,13740188,115437478.1,282605435,58917848.9,221565658,17085381.04,217515370,20126338.97
03.12.19,CPVT-HET,08.08.19,7560,Control,13917596,131576203.7,288702830,44375155.43,242277072,22149649.28,227408140,8119366.57
03.12.19,CPVT-HET,08.08.19,7560,Iso,9988440,94888436.51,266384430,42577661.47,227698972,29920683.88,205788785,40517484.14
03.12.19,CPVT-WT,26.08.19,6034,Control,14588420,138355150.5,223400775,52151075.05,166522782,33620955.32,158978870,13287440.51